agency_name,response_count,agency_name_display,most_helpful_top_words,most_helpful_top_bigrams,least_helpful_top_words,least_helpful_top_bigrams
friends of the children montana,6,Friends Of The Children Montana,appreciated:4 | case:3 | management:3 | included:2 | instead:2 | observing:2 | honestly:2 | weekly:2 | planning:2 | documentation:1 | peer:1 | coordination:1 | community:1 | referrals:1 | intakes:1 | work:1 | advocacy:1 | connect:1 | class:1 | content:1,appreciated included:2 | case management:2 | honestly appreciated:2 | included documentation:1 | documentation peer:1 | peer coordination:1 | coordination instead:1 | included community:1 | community referrals:1 | referrals intakes:1 | intakes case:1 | management instead:1 | appreciated work:1 | work advocacy:1 | advocacy case:1,needed:3 | hardest:2 | week:2 | shadowing:2 | chances:2 | try:2 | skills:2 | one:1 | frustration:1 | client:1 | contact:1 | fewer:1 | office:1 | tasks:1 | role:1 | changed:1 | slowed:1 | down:1 | learning:1,shadowing needed:2 | frustration needed:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | hardest role:1 | role changed:1 | changed week:1 | week week:1 | hardest shadowing:1 | skills slowed:1 | slowed down:1 | down learning:1
frontier behavioral health,14,Frontier Behavioral Health,helped:6 | work:5 | practice:5 | clients:3 | experience:3 | help:3 | exposure:3 | coordination:3 | agency:3 | team:3 | staff:3 | tasks:3 | opportunities:3 | great:2 | hands:2 | supervisor:2 | able:2 | learn:2 | supervision:2 | feedback:2,help work:3 | hands experience:2 | real exposure:2 | parent coaching:2 | within agency:2 | placement helped:1 | helped think:1 | think critically:1 | critically social:1 | social justice:1 | justice oppression:1 | oppression structural:1 | structural barriers:1 | barriers affecting:1 | affecting clients:1,work:3 | agency:3 | needed:3 | times:3 | skills:3 | policy:2 | changed:2 | direct:2 | practicum:2 | tasks:2 | paperwork:2 | practice:2 | limited:2 | clinical:2 | service:2 | than:2 | apply:2 | learning:2 | shadowing:2 | chances:2,shadowing needed:2 | policy demands:1 | demands changed:1 | changed redirected:1 | redirected work:1 | direct policy:1 | policy work:1 | work agency:1 | agency look:1 | look outside:1 | outside practicum:1 | workflow changed:1 | changed quickly:1 | quickly planning:1 | planning harder:1
gallatin high school,3,Gallatin High School,appreciated:1 | brought:1 | committees:1 | instead:1 | doing:1 | support:1 | tasks:1 | floor:1 | having:1 | chances:1 | sit:1 | sessions:1 | team:1 | meetings:1 | helped:1 | everything:1 | click:1 | unstructured:1,appreciated brought:1 | brought committees:1 | committees instead:1 | instead doing:1 | doing support:1 | support tasks:1 | having chances:1 | chances sit:1 | sit sessions:1 | sessions team:1 | team meetings:1 | meetings helped:1 | helped everything:1 | everything click:1 | click unstructured:1,shadowing:2 | one:1 | frustration:1 | needed:1 | chances:1 | try:1 | skills:1 | wanted:1 | client:1 | contact:1 | less:1,frustration shadowing:1 | shadowing needed:1 | wanted client:1 | client contact:1 | contact less:1 | less shadowing:1
gateway to success,5,Gateway To Success,helped:3 | community:2 | policy:2 | better:2 | practicum:2 | see:1 | partnerships:1 | systems:1 | coordination:1 | close:1 | understand:1 | practice:1 | gave:1 | sense:1 | crisis:1 | work:1 | observing:1 | doing:1 | case:1 | management:1,helped see:1 | see community:1 | community partnerships:1 | partnerships systems:1 | systems coordination:1 | coordination close:1 | close helped:1 | helped understand:1 | understand policy:1 | policy practice:1 | practice better:1 | better gave:1 | gave better:1 | better sense:1 | sense crisis:1,early:2 | practicum:2 | positive:2 | one:1 | frustration:1 | liked:1 | consistency:1 | structure:1 | uneven:1 | honestly:1 | everything:1 | agency:1 | environment:1 | learning:1 | opportunities:1 | enriching:1 | supervisor:1 | willing:1 | help:1 | understand:1,frustration liked:1 | liked consistency:1 | consistency early:1 | structure uneven:1 | uneven early:1 | honestly everything:1 | everything practicum:1 | practicum agency:1 | agency positive:1 | positive environment:1 | environment positive:1 | positive learning:1 | learning opportunities:1 | opportunities enriching:1 | enriching supervisor:1
germane and wise mental health consulting,6,Germane And Wise Mental Health Consulting,work:5 | helped:4 | intervention:3 | resource:2 | navigation:2 | support:2 | build:2 | medical:2 | social:2 | assessment:2 | together:2 | help:2 | found:2 | able:2 | discussing:2 | enough:2 | skills:2 | wanted:2 | direct:2 | practice:2,medical social:2 | social work:2 | assessment intervention:2 | direct practice:2 | helped issues:1 | site learned:1 | learned case:1 | case management:1 | management resource:1 | resource navigation:1 | navigation housing:1 | housing search:1 | search support:1 | helped work:1 | work care:1,limited:3 | direct:2 | practice:2 | mostly:2 | shadowing:2 | skills:2 | opportunities:2 | high:2 | caseload:2 | used:2 | having:2 | personable:2 | over:2 | wanted:1 | instead:1 | observation:1 | needed:1 | chances:1 | try:1 | follow:1,direct practice:2 | high caseload:2 | wanted direct:1 | practice instead:1 | instead mostly:1 | mostly observation:1 | shadowing needed:1 | follow opportunities:1 | opportunities limited:1 | limited harder:1 | harder evaluate:1 | evaluate outcomes:1 | educational probably:1 | probably high:1 | caseload used:1
grandview family counseling,6,Grandview Family Counseling,helped:4 | work:3 | across:2 | practice:2 | able:2 | policy:1 | research:1 | stakeholder:1 | meetings:1 | legislative:1 | tracking:1 | build:1 | confidence:1 | understand:1 | programs:1 | run:1 | staff:1 | together:1 | services:1 | flexible:1,helped work:1 | work policy:1 | policy research:1 | research stakeholder:1 | stakeholder meetings:1 | meetings legislative:1 | legislative tracking:1 | tracking helped:1 | helped build:1 | build confidence:1 | understand programs:1 | programs run:1 | run staff:1 | staff work:1 | work together:1,work:2 | honestly:1 | one:1 | frustration:1 | needed:1 | client:1 | contact:1 | fewer:1 | office:1 | tasks:1 | structure:1 | uneven:1 | early:1 | too:1 | admin:1 | enough:1 | hands:1 | practice:1 | meaningful:1 | level:1,honestly one:1 | frustration needed:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | structure uneven:1 | uneven early:1 | too admin:1 | admin work:1 | work meaningful:1 | meaningful level:1 | level exposure:1 | exposure trauma:1 | trauma difficult:1
great falls rescue mission cameron family center,4,Great Falls Rescue Mission Cameron Family Center,people:3 | exposure:2 | interactions:1 | live:1 | meet:1 | wonderful:1 | learn:1 | interact:1 | different:1 | backgrounds:1 | biggest:1 | help:1 | real:1 | brief:1 | assessments:1 | resource:1 | referrals:1 | best:1 | school:1 | meetings:1,interactions people:1 | people live:1 | live meet:1 | meet wonderful:1 | wonderful people:1 | people learn:1 | learn interact:1 | interact people:1 | people different:1 | different backgrounds:1 | help real:1 | real exposure:1 | exposure brief:1 | brief assessments:1 | assessments resource:1,afterschool:1 | program:1 | important:1 | contribute:1 | education:1 | activities:1 | liked:1 | consistency:1 | early:1 | enough:1 | consistent:1 | supervision:1 | needed:1 | client:1 | contact:1 | fewer:1 | office:1 | tasks:1 | slowed:1 | down:1,afterschool program:1 | program important:1 | important contribute:1 | contribute education:1 | education activities:1 | liked consistency:1 | consistency early:1 | enough consistent:1 | consistent supervision:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | tasks slowed:1 | slowed down:1
greater valley health center,14,Greater Valley Health Center,work:5 | planning:5 | learned:4 | program:4 | issues:3 | site:3 | learning:3 | helped:3 | care:3 | biggest:2 | help:2 | support:2 | advocacy:2 | connect:2 | practice:2 | documentation:2 | treatment:2 | best:2 | exposure:2 | intakes:2,site learned:3 | learned treatment:2 | treatment planning:2 | learned community:2 | allowed learn:2 | help work:1 | work support:1 | support groups:1 | groups advocacy:1 | advocacy connect:1 | connect class:1 | class content:1 | content practice:1 | practice meaningful:1 | included documentation:1,practice:7 | clients:5 | shadow:4 | went:3 | therapists:3 | mental:3 | health:3 | learning:3 | work:3 | paperwork:2 | instead:2 | actual:2 | too:2 | shadowing:2 | needed:2 | chances:2 | try:2 | skills:2 | little:2 | limited:2,mental health:3 | went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | shadowing needed:2 | practice clients:2 | too went:1 | went repeat:1 | repeat documentation:1 | wanted consistency:1 | consistency across:1 | across supervisors:1 | trying shadow:1 | shadow therapists:1
green apple behavioral health,3,Green Apple Behavioral Health,work:2 | supervision:1 | inconsistent:1 | affected:1 | learning:1 | enough:1 | feedback:1 | know:1 | improving:1 | wanted:1 | guidance:1 | understand:1 | bigger:1 | systems:1 | biggest:1 | help:1 | crisis:1 | support:1 | safety:1 | planning:1,supervision inconsistent:1 | inconsistent affected:1 | affected learning:1 | learning enough:1 | enough feedback:1 | feedback know:1 | know improving:1 | improving wanted:1 | wanted guidance:1 | guidance understand:1 | understand bigger:1 | bigger systems:1 | systems work:1 | help work:1 | work crisis:1,shadowing:2 | needed:2 | mostly:1 | limited:1 | direct:1 | practice:1 | difficulty:1 | getting:1 | feedback:1 | hardest:1 | chances:1 | try:1 | skills:1 | practicum:1 | reactive:1 | than:1 | educational:1 | logistics:1 | office:1 | share:1,mostly shadowing:1 | shadowing limited:1 | limited direct:1 | direct practice:1 | practice difficulty:1 | difficulty getting:1 | getting feedback:1 | feedback needed:1 | hardest shadowing:1 | shadowing needed:1 | skills practicum:1 | practicum reactive:1 | reactive than:1 | than educational:1 | logistics office:1
habitat for humanity of gallatin valley,5,Habitat For Humanity Of Gallatin Valley,helped:5 | supervision:2 | experience:2 | consistent:2 | feedback:2 | meetings:2 | understand:2 | practice:2 | systems:2 | one:1 | educational:1 | aspects:1 | practicum:1 | habitat:1 | humanity:1 | supportive:1 | intentional:1 | received:1 | throughout:1 | jeneffer:1,helped understand:2 | one educational:1 | educational aspects:1 | aspects practicum:1 | practicum habitat:1 | habitat humanity:1 | humanity supportive:1 | supportive intentional:1 | intentional supervision:1 | supervision received:1 | received throughout:1 | throughout experience:1 | experience jeneffer:1 | jeneffer brian:1 | brian played:1,experience:2 | learning:2 | unstructured:2 | needed:2 | practicum:1 | habitat:1 | humanity:1 | positive:1 | enriching:1 | one:1 | less:1 | standpoint:1 | occasional:1 | lack:1 | structure:1 | daily:1 | tasks:1 | project:1 | assignments:1 | someone:1,practicum habitat:1 | habitat humanity:1 | humanity positive:1 | positive enriching:1 | enriching experience:1 | experience one:1 | one less:1 | less learning:1 | learning standpoint:1 | standpoint occasional:1 | occasional lack:1 | lack structure:1 | structure daily:1 | daily tasks:1 | tasks project:1
hamilton school district 3,5,Hamilton School District 3,learning:3 | helped:2 | exposure:2 | agency:2 | experience:2 | practice:2 | given:2 | work:2 | community:2 | real:1 | crisis:1 | escalation:1 | safety:1 | planning:1 | gave:1 | useful:1 | policy:1 | navigation:1 | systems:1 | level:1,helped real:1 | real exposure:1 | exposure crisis:1 | crisis escalation:1 | escalation safety:1 | safety planning:1 | agency gave:1 | gave useful:1 | useful exposure:1 | exposure policy:1 | policy navigation:1 | navigation systems:1 | systems level:1 | level advocacy:1 | care coordination:1,hardest:2 | practicum:2 | educational:2 | problem:2 | solving:2 | needed:1 | client:1 | contact:1 | fewer:1 | office:1 | tasks:1 | having:1 | limited:1 | direct:1 | clinical:1 | exposure:1 | agency:1 | able:1 | issue:1 | interfered:1,problem solving:2 | hardest needed:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | having limited:1 | limited direct:1 | direct clinical:1 | clinical exposure:1 | practicum agency:1 | agency able:1 | able educational:1 | educational issue:1 | issue interfered:1
hamilton school district 4,3,Hamilton School District 4,meetings:3 | social:3 | workers:3 | helped:2 | understand:2 | student:2 | team:2 | supervision:1 | consistent:1 | included:1 | regular:1 | check:1 | ins:1 | systems:1 | level:1 | decisions:1 | affect:1 | service:1 | delivery:1 | braod:1,social workers:3 | helped understand:2 | supervision consistent:1 | consistent included:1 | included meetings:1 | meetings regular:1 | regular check:1 | check ins:1 | ins systems:1 | systems level:1 | level meetings:1 | meetings helped:1 | understand decisions:1 | decisions affect:1 | affect service:1,classroom:2 | inconsistent:1 | supervision:1 | based:1 | placement:1 | significant:1 | barriers:1 | ability:1 | engage:1 | meaningful:1 | therapeutic:1 | support:1 | students:1 | families:1 | spent:1 | great:1 | deal:1 | observing:1 | correcting:1 | behavior:1,inconsistent supervision:1 | classroom based:1 | based placement:1 | placement significant:1 | significant barriers:1 | barriers ability:1 | ability engage:1 | engage meaningful:1 | meaningful therapeutic:1 | therapeutic support:1 | support students:1 | students families:1 | families spent:1 | spent great:1 | great deal:1
haven,8,Haven,systems:4 | helped:4 | opportunity:2 | level:2 | change:2 | care:2 | coordination:2 | social:2 | worker:2 | contribute:1 | evaluation:1 | assessment:1 | gave:1 | useful:1 | macro:1 | practice:1 | experience:1 | reinforced:1 | person:1 | environment:1,care coordination:2 | social worker:2 | opportunity contribute:1 | contribute evaluation:1 | evaluation assessment:1 | assessment gave:1 | gave useful:1 | useful macro:1 | macro level:1 | level practice:1 | practice experience:1 | experience reinforced:1 | reinforced person:1 | person environment:1 | environment perspective:1,lack:3 | observation:2 | barriers:2 | wanted:2 | practice:2 | working:1 | remotely:1 | limited:1 | opportunities:1 | spontaneous:1 | relationship:1 | building:1 | bureaucratic:1 | occasionally:1 | hard:1 | see:1 | progress:1 | quickly:1 | structure:1 | uneven:1,working remotely:1 | remotely limited:1 | limited opportunities:1 | opportunities spontaneous:1 | spontaneous observation:1 | observation relationship:1 | relationship building:1 | bureaucratic barriers:1 | barriers occasionally:1 | occasionally hard:1 | hard see:1 | see progress:1 | progress quickly:1 | structure uneven:1 | uneven early:1
