agency_name,agency_name_display,response_count,data_quality,placement_quality_score,recent_placement_score,fit_trend,mean_response_length,recommendation_rate,overall_sentiment_score,mean_competency_score,concern_indicator_count,concern_flag,misalignment_flag,most_helpful_polarity,least_helpful_polarity,strong_supervision_helpful_pct,strong_supervision_least_pct,direct_practice_opportunity_helpful_pct,direct_practice_opportunity_least_pct,administrative_overload_helpful_pct,administrative_overload_least_pct,organizational_structure_helpful_pct,organizational_structure_least_pct,learning_environment_helpful_pct,learning_environment_least_pct,social_justice_alignment_helpful_pct,social_justice_alignment_least_pct,most_helpful_top_words,most_helpful_top_bigrams,least_helpful_top_words,least_helpful_top_bigrams,comp_1_ethical_professional,comp_2_human_rights_justice,comp_3_adei,comp_4_research_informed,comp_5_policy_practice,comp_6_engage,comp_7_assess,comp_8_intervene,comp_9_evaluate,felt_prepared,learning_goals_met,prepared_for_practice,supervision_frequency,supervision_quality,comments_supervisor_polarity,other_comments_polarity,recommend_reason_polarity,agency_competency_1_mean,agency_competency_2_mean,agency_competency_3_mean,agency_competency_4_mean,agency_competency_5_mean,agency_competency_6_mean,agency_competency_7_mean,agency_competency_8_mean,agency_competency_9_mean
bayview recovery center,Bayview Recovery Center,6,sufficient,4.1,,stable,19.0,0.67,0.3348,90.89,1,no flag,no flag,0.3064,0.2093,0.0,0.0,33.3,0.0,16.7,0.0,0.0,0.0,83.3,50.0,0.0,0.0,trauma:2 | case:2 | management:2 | learning:2 | intervention:2 | work:2 | see:2 | learned:1 | quite:1 | bit:1 | needed:1 | direction:1 | appreciated:1 | chance:1 | build:1 | confidence:1 | informed:1 | care:1 | trusted:1 | learn:1,case management:2 | learned quite:1 | quite bit:1 | bit needed:1 | needed direction:1 | appreciated chance:1 | chance build:1 | build confidence:1 | confidence trauma:1 | trauma informed:1 | informed care:1 | care case:1 | management trusted:1 | trusted learn:1 | learn having:1,clearer:3 | learning:2 | plan:2 | start:2 | help:2 | onboarding:1 | process:1 | brief:1 | contact:1 | educational:1 | wanted:1 | continuity:1 | clients:1 | probably:1 | doing:1 | utilization:1 | reviews:1 | hardest:1 | weeks:1 | observational:1,clearer learning:2 | learning plan:2 | plan start:2 | start help:2 | onboarding process:1 | process clearer:1 | brief contact:1 | contact educational:1 | educational wanted:1 | wanted continuity:1 | continuity clients:1 | probably doing:1 | doing utilization:1 | utilization reviews:1 | hardest weeks:1,4.33,4.0,4.67,4.33,4.17,4.5,4.5,4.17,4.0,4.0,4.33,4.17,4.0,4.0,0.2507,0.4396,0.4678,87.8,91.58,89.98,92.74,89.49,91.7,92.26,90.74,91.71
wenatchee high school,Wenatchee High School,2,limited,4.1,3.2,declining,32.5,0.5,0.4253,,1,no flag,no flag,0.7616,-0.4362,,,,,,,,,,,,,,,,,3.5,4.0,4.0,4.0,4.0,4.0,3.5,3.5,3.0,3.5,4.0,4.0,4.5,4.5,0.9393,0.6086,0.253,,,,,,,,,
standing together against rape (star),Standing Together Against Rape (Star),9,sufficient,4.11,,stable,25.0,0.78,0.2751,88.86,1,no flag,no flag,0.5014,-0.0876,33.3,33.3,11.1,11.1,22.2,11.1,0.0,33.3,55.6,11.1,11.1,11.1,learning:5 | practice:3 | work:3 | helped:3 | crisis:3 | assessment:2 | intervention:2 | included:2 | support:2 | mobile:2 | outreach:2 | observing:2 | opportunities:2 | debriefing:2 | legal:2 | strongest:1 | came:1 | rapport:1 | building:1 | active:1,mobile outreach:2 | strongest learning:1 | learning came:1 | came rapport:1 | rapport building:1 | building active:1 | active listening:1 | listening real:1 | real practice:1 | practice situations:1 | situations see:1 | see assessment:1 | assessment intervention:1 | intervention evaluation:1 | evaluation work:1,supervision:3 | consistent:2 | week:2 | work:2 | enough:2 | slow:2 | didn:2 | travel:1 | scheduling:1 | across:1 | sites:1 | reduced:1 | available:1 | debriefing:1 | documentation:1 | burden:1 | heavy:1 | limited:1 | opportunities:1 | direct:1,supervision consistent:2 | travel scheduling:1 | scheduling across:1 | across sites:1 | sites reduced:1 | reduced available:1 | available supervision:1 | supervision debriefing:1 | consistent week:1 | week week:1 | documentation burden:1 | burden heavy:1 | heavy limited:1 | limited opportunities:1 | opportunities direct:1,4.0,4.56,4.33,4.11,4.11,3.89,4.11,3.78,4.0,4.22,4.0,4.11,4.22,4.0,0.2434,0.2995,0.4186,85.08,90.57,91.73,91.24,86.66,88.79,90.31,87.54,87.84
poverello center inc,Poverello Center Inc,22,sufficient,4.19,4.24,stable,26.5,0.86,0.4348,88.92,1,no flag,no flag,0.609,-0.0387,27.3,33.3,13.6,23.8,4.5,9.5,4.5,19.0,45.5,0.0,50.0,0.0,work:11 | practice:9 | helped:7 | supervision:5 | practicum:5 | community:5 | meetings:5 | social:4 | planning:4 | assessment:4 | support:4 | group:3 | students:3 | agency:3 | tasks:3 | learning:3 | see:3 | coordination:3 | connect:3 | appreciated:3,practicum students:2 | gave clearer:2 | clearer view:2 | view micro:2 | micro mezzo:2 | mezzo macro:2 | macro practice:2 | social work:2 | community outreach:2 | helped understand:2 | connect class:2 | class content:2 | content practice:2 | direct practice:2 | see assessment:2,work:6 | times:4 | harder:4 | quickly:4 | practice:4 | practicum:3 | hardest:3 | enough:3 | changed:3 | direct:3 | soar:3 | doing:2 | life:2 | school:2 | think:2 | bit:2 | agency:2 | honestly:2 | frustration:2 | liked:2,changed quickly:3 | direct practice:3 | workflow changed:2 | quickly planning:2 | planning harder:2 | doing work:1 | work based:1 | based practicum:1 | practicum found:1 | found difficult:1 | difficult separate:1 | separate work:1 | work life:1 | life school:1 | school life:1,4.18,4.27,4.36,3.95,4.27,3.86,4.18,4.05,4.27,3.77,4.09,4.14,4.5,4.45,0.4415,0.5606,0.6014,90.23,91.44,89.17,88.05,87.32,89.63,90.29,87.59,86.55
988 suicide & crisis lifeline center,988 Suicide & Crisis Lifeline Center,4,sufficient,4.2,3.9,declining,18.2,0.5,0.4237,87.6,1,no flag,no flag,0.431,0.1886,0.0,0.0,25.0,0.0,0.0,0.0,0.0,33.3,50.0,0.0,25.0,0.0,learned:2 | work:2 | group:1 | facilitation:1 | resource:1 | community:1 | meetings:1 | britney:1 | marx:1 | attentive:1 | detailed:1 | instructions:1 | training:1 | doing:1 | own:1 | successful:1 | strong:1 | exposure:1 | direct:1 | practice:1,learned group:1 | group facilitation:1 | facilitation resource:1 | resource work:1 | work community:1 | community meetings:1 | britney marx:1 | marx attentive:1 | attentive detailed:1 | detailed instructions:1 | instructions training:1 | training doing:1 | doing work:1 | work own:1 | own successful:1,weeks:1 | slower:1 | than:1 | others:1 | strong:1 | placement:1 | times:1 | expectations:1 | clear:1 | fewer:1 | opportunities:1 | observe:1 | experienced:1 | practitioners:1 | live:1,weeks slower:1 | slower than:1 | than others:1 | others strong:1 | strong placement:1 | times expectations:1 | expectations clear:1 | fewer opportunities:1 | opportunities observe:1 | observe experienced:1 | experienced practitioners:1 | practitioners live:1,3.5,4.25,4.75,4.5,4.75,4.5,4.25,4.75,5.0,3.0,4.0,4.5,4.5,5.0,0.6629,0.5106,0.3256,90.0,87.1,83.78,86.58,86.12,87.85,93.12,85.37,88.49
iris clubhouse,Iris Clubhouse,4,sufficient,4.2,4.2,stable,27.8,0.75,0.2962,91.78,1,no flag,no flag,0.3305,0.0443,25.0,0.0,50.0,25.0,0.0,50.0,0.0,0.0,25.0,50.0,25.0,25.0,crisis:2 | learn:2 | biggest:1 | help:1 | real:1 | exposure:1 | intakes:1 | calls:1 | appreciated:1 | support:1 | documentation:1 | debrief:1 | educational:1 | practicum:1 | iris:1 | clubhouse:1 | gaining:1 | deeper:1 | understanding:1 | nonprofit:1,help real:1 | real exposure:1 | exposure intakes:1 | intakes crisis:1 | crisis calls:1 | appreciated learn:1 | learn crisis:1 | crisis support:1 | support documentation:1 | documentation debrief:1 | educational practicum:1 | practicum iris:1 | iris clubhouse:1 | clubhouse gaining:1 | gaining deeper:1,frustration:2 | skills:2 | work:2 | clinical:2 | shadowing:1 | needed:1 | chances:1 | try:1 | admin:1 | enough:1 | hands:1 | practice:1 | practicum:1 | limited:1 | opportunity:1 | experiences:1 | iris:1 | clubhouse:1 | offered:1 | strong:1,frustration shadowing:1 | shadowing needed:1 | frustration admin:1 | admin work:1 | practicum limited:1 | limited opportunity:1 | opportunity clinical:1 | clinical experiences:1 | experiences iris:1 | iris clubhouse:1 | clubhouse offered:1 | offered strong:1 | strong foundation:1 | foundation community:1 | community based:1,3.75,3.25,4.25,3.5,4.25,4.75,3.5,4.0,3.75,3.75,4.25,3.75,4.5,4.75,0.5416,0.1857,0.3788,85.72,92.9,90.89,92.38,92.57,91.57,96.14,90.75,93.06
missoula municipal court,Missoula Municipal Court,9,sufficient,4.22,4.4,stable,28.1,0.56,0.4387,88.8,1,no flag,no flag,0.6544,-0.1932,22.2,16.7,33.3,16.7,0.0,0.0,11.1,33.3,55.6,16.7,44.4,0.0,learning:4 | support:4 | community:3 | work:3 | enough:3 | social:2 | brought:2 | partnerships:2 | instead:2 | doing:2 | tasks:2 | helped:2 | systems:2 | experience:2 | policy:2 | having:2 | great:2 | build:2 | appreciated:2 | feedback:2,community partnerships:2 | instead doing:2 | doing support:2 | support tasks:2 | valued learning:1 | learning community:1 | community organization:1 | organization capacity:1 | capacity building:1 | building create:1 | create change:1 | change beyond:1 | beyond individual:1 | individual cases:1 | cases connected:1,inconsistent:2 | projects:1 | shifted:1 | fully:1 | developed:1 | communication:1 | across:1 | staff:1 | frustration:1 | liked:1 | consistency:1 | early:1 | received:1 | less:1 | practice:1 | key:1 | areas:1 | associated:1 | expected:1 | social:1,projects shifted:1 | shifted fully:1 | fully developed:1 | communication across:1 | across staff:1 | staff inconsistent:1 | frustration liked:1 | liked consistency:1 | consistency early:1 | received less:1 | less practice:1 | practice key:1 | key areas:1 | areas associated:1 | associated expected:1,4.22,4.11,4.33,4.11,4.0,4.11,4.0,3.89,3.89,4.0,4.33,3.78,4.56,4.44,0.5936,0.7928,0.3458,88.56,90.01,89.88,88.06,88.72,88.91,88.68,88.61,87.78
"new day, inc","New Day, Inc.",4,sufficient,4.25,4.3,stable,29.2,1.0,0.4938,89.56,1,no flag,no flag,0.8096,0.0746,0.0,25.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,0.0,practice:3 | work:2 | able:1 | quickly:1 | identify:1 | areas:1 | need:1 | competent:1 | valued:1 | agency:1 | expected:1 | know:1 | everything:1 | greeted:1 | fulfilling:1 | learning:1 | opportunities:1 | strong:1 | support:1 | chances:1,able quickly:1 | quickly identify:1 | identify areas:1 | areas need:1 | need competent:1 | competent valued:1 | valued agency:1 | agency expected:1 | expected know:1 | know everything:1 | everything greeted:1 | greeted fulfilling:1 | fulfilling learning:1 | learning opportunities:1 | strong support:1,like:1 | wasn:1 | structured:1 | communication:1 | channel:1 | procedures:1 | student:1 | interns:1 | agency:1 | supervisors:1 | considerate:1 | feedback:1 | listened:1 | concerns:1 | openly:1 | slow:1 | periods:1 | fewer:1 | tasks:1 | frequent:1,like wasn:1 | wasn structured:1 | structured communication:1 | communication channel:1 | channel procedures:1 | procedures student:1 | student interns:1 | interns agency:1 | agency supervisors:1 | supervisors considerate:1 | considerate feedback:1 | feedback listened:1 | listened concerns:1 | concerns openly:1 | slow periods:1,4.5,4.25,4.5,4.75,4.5,3.5,5.0,4.0,4.75,4.0,4.25,3.5,5.0,4.5,0.3114,0.5106,0.7627,86.53,90.33,88.49,89.58,89.57,91.01,91.6,88.67,90.23
montana native women's coalition,Montana Native Women's Coalition,3,sufficient,4.47,,stable,22.0,0.67,0.1893,88.49,1,no flag,no flag,0.3372,0.0101,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,biggest:1 | help:1 | brought:1 | community:1 | partnerships:1 | instead:1 | doing:1 | support:1 | tasks:1 | expose:1 | focus:1 | areas:1 | regarding:1 | stalking:1 | human:1 | trafficking:1 | dating:1 | violence:1 | mmip:1 | appreciated:1,help brought:1 | brought community:1 | community partnerships:1 | partnerships instead:1 | instead doing:1 | doing support:1 | support tasks:1 | expose focus:1 | focus areas:1 | areas regarding:1 | regarding stalking:1 | stalking human:1 | human trafficking:1 | trafficking dating:1 | dating violence:1,different:3 | wanted:2 | little:2 | independent:2 | practice:2 | having:2 | act:2 | programs:2 | say:2 | read:1 | law:1 | dictionary:1 | learn:1 | bunch:1 | material:1 | within:1 | short:1 | amount:1 | like:1 | barely:1,wanted little:2 | little independent:2 | independent practice:2 | having read:1 | read law:1 | law dictionary:1 | dictionary learn:1 | learn bunch:1 | bunch different:1 | different material:1 | material within:1 | within short:1 | short amount:1 | amount like:1 | like barely:1,4.67,5.0,5.0,4.67,5.0,4.67,4.67,3.67,3.67,4.67,4.67,4.67,4.0,4.33,0.5701,-0.2864,0.3155,86.87,89.33,89.6,87.41,88.8,90.05,86.87,90.77,86.7
lowell elementary school,Lowell Elementary School,4,sufficient,4.5,4.9,improving,29.5,1.0,0.3266,90.75,1,no flag,no flag,0.4688,-0.3177,0.0,0.0,25.0,0.0,0.0,50.0,0.0,0.0,75.0,0.0,25.0,0.0,helped:3 | school:3 | practice:2 | work:2 | rapport:1 | building:1 | parts:1 | placement:1 | shaped:1 | every:1 | intervention:1 | skill:1 | apply:1 | strengths:1 | perspective:1 | think:1 | hands:1 | learning:1 | approach:1 | best:1,rapport building:1 | building parts:1 | parts placement:1 | placement shaped:1 | shaped every:1 | every intervention:1 | intervention skill:1 | skill helped:1 | helped apply:1 | apply strengths:1 | strengths perspective:1 | perspective practice:1 | think hands:1 | hands learning:1 | learning approach:1,school:2 | system:2 | times:2 | feeling:1 | uncertain:1 | outcomes:1 | clients:1 | relapse:1 | crisis:1 | think:1 | lack:1 | trust:1 | administration:1 | teachers:1 | hard:1 | strong:1 | everything:1 | done:1 | within:1 | micromanaged:1,feeling uncertain:1 | uncertain outcomes:1 | outcomes clients:1 | clients relapse:1 | relapse crisis:1 | think school:1 | school system:1 | system lack:1 | lack trust:1 | trust administration:1 | administration teachers:1 | teachers hard:1 | hard strong:1 | strong system:1 | system everything:1,4.75,5.0,5.0,4.75,4.75,5.0,5.0,5.0,4.75,3.5,5.0,4.5,4.75,4.75,0.5497,0.2782,0.6539,92.85,92.89,88.92,89.42,91.68,90.13,93.16,88.78,88.91
victim services program,Victim Services Program,3,sufficient,4.53,,stable,21.0,0.67,0.5401,93.21,1,no flag,no flag,0.7779,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,100.0,0.0,valued:1 | learning:1 | community:1 | organization:1 | capacity:1 | building:1 | create:1 | change:1 | beyond:1 | individual:1 | cases:1 | helped:1 | apply:1 | strengths:1 | perspective:1 | practice:1 | brought:1 | systems:1 | advocacy:1 | instead:1,valued learning:1 | learning community:1 | community organization:1 | organization capacity:1 | capacity building:1 | building create:1 | create change:1 | change beyond:1 | beyond individual:1 | individual cases:1 | cases helped:1 | helped apply:1 | apply strengths:1 | strengths perspective:1 | perspective practice:1,opportunities:2 | benefited:1 | clearer:1 | orientation:1 | defined:1 | project:1 | timelines:1 | hardest:1 | workflow:1 | changed:1 | quickly:1 | planning:1 | harder:1 | guess:1 | appreciated:1 | larger:1 | variety:1 | clinical:1,benefited clearer:1 | clearer orientation:1 | orientation defined:1 | defined project:1 | project timelines:1 | hardest workflow:1 | workflow changed:1 | changed quickly:1 | quickly planning:1 | planning harder:1 | guess appreciated:1 | appreciated opportunities:1 | opportunities larger:1 | larger variety:1 | variety clinical:1,4.67,4.33,4.33,4.0,4.67,4.33,4.33,4.33,5.0,4.67,4.67,4.0,4.33,5.0,0.659,0.5563,0.426,89.63,92.73,96.07,94.38,93.35,93.63,94.69,93.12,91.26
habitat for humanity of gallatin valley,Habitat For Humanity Of Gallatin Valley,5,sufficient,4.56,,stable,33.2,1.0,0.4362,89.06,1,no flag,no flag,0.6888,0.1548,40.0,50.0,40.0,25.0,0.0,0.0,40.0,50.0,20.0,25.0,40.0,0.0,helped:5 | supervision:2 | experience:2 | consistent:2 | feedback:2 | meetings:2 | understand:2 | practice:2 | systems:2 | educational:1 | aspects:1 | practicum:1 | habitat:1 | humanity:1 | supportive:1 | intentional:1 | received:1 | throughout:1 | jeneffer:1 | brian:1,helped understand:2 | educational aspects:1 | aspects practicum:1 | practicum habitat:1 | habitat humanity:1 | humanity supportive:1 | supportive intentional:1 | intentional supervision:1 | supervision received:1 | received throughout:1 | throughout experience:1 | experience jeneffer:1 | jeneffer brian:1 | brian played:1 | played key:1,experience:2 | learning:2 | unstructured:2 | needed:2 | practicum:1 | habitat:1 | humanity:1 | positive:1 | enriching:1 | less:1 | standpoint:1 | occasional:1 | lack:1 | structure:1 | daily:1 | tasks:1 | project:1 | assignments:1 | someone:1 | thrives:1,practicum habitat:1 | habitat humanity:1 | humanity positive:1 | positive enriching:1 | enriching experience:1 | experience less:1 | less learning:1 | learning standpoint:1 | standpoint occasional:1 | occasional lack:1 | lack structure:1 | structure daily:1 | daily tasks:1 | tasks project:1 | project assignments:1,4.0,4.2,5.0,4.6,4.2,4.4,4.2,4.8,4.8,4.2,4.4,4.6,4.8,4.8,0.1468,0.4788,0.712,86.55,90.02,91.22,89.31,87.06,87.83,91.36,89.83,88.38
"timberline counseling, llc","Timberline Counseling, Llc",4,sufficient,4.65,4.8,stable,31.5,1.0,0.4262,87.12,1,no flag,no flag,0.6131,0.1532,50.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,50.0,0.0,25.0,0.0,real:2 | work:2 | systems:2 | meetings:2 | counselor:1 | able:1 | put:1 | learning:1 | school:1 | msw:1 | mentor:1 | actually:1 | use:1 | sessions:1 | see:1 | processes:1 | play:1 | out:1 | life:1 | learned:1,counselor able:1 | able put:1 | put learning:1 | learning school:1 | school msw:1 | msw mentor:1 | mentor actually:1 | actually use:1 | use real:1 | real sessions:1 | sessions see:1 | see processes:1 | processes play:1 | play out:1 | out real:1,practicum:2 | second:1 | like:1 | super:1 | lucky:1 | classify:1 | first:1 | lack:1 | support:1 | boss:1 | documentation:1 | important:1 | occasionally:1 | overshadowed:1 | client:1 | interaction:1 | needed:1 | context:1 | systems:1 | level:1,second practicum:1 | practicum like:1 | like super:1 | super lucky:1 | lucky classify:1 | classify first:1 | first practicum:1 | practicum lack:1 | lack support:1 | support boss:1 | documentation important:1 | important occasionally:1 | occasionally overshadowed:1 | overshadowed client:1 | client interaction:1,5.0,5.0,4.25,4.25,4.25,5.0,5.0,5.0,4.75,4.75,5.0,4.5,5.0,4.0,0.2031,0.3571,0.8047,88.32,88.47,80.28,84.94,85.76,88.7,91.24,85.02,91.35
denver human services,Denver Human Services,3,sufficient,4.67,4.6,stable,30.0,1.0,0.1549,90.48,1,no flag,no flag,0.3059,-0.3561,33.3,50.0,66.7,50.0,0.0,0.0,0.0,0.0,33.3,50.0,0.0,0.0,gained:1 | strong:1 | exposure:1 | crisis:1 | intervention:1 | risk:1 | assessment:1 | supervision:1 | helped:1 | process:1 | difficult:1 | cases:1 | using:1 | ethical:1 | decision:1 | making:1 | framework:1 | having:1 | real:1 | hands:1,gained strong:1 | strong exposure:1 | exposure crisis:1 | crisis intervention:1 | intervention risk:1 | risk assessment:1 | assessment supervision:1 | supervision helped:1 | helped process:1 | process difficult:1 | difficult cases:1 | cases using:1 | using ethical:1 | ethical decision:1 | decision making:1,work:1 | meaningful:1 | level:1 | exposure:1 | trauma:1 | difficult:1 | balance:1 | learning:1 | needs:1 | check:1 | ins:1 | steady:1 | enough:1 | amount:1 | responsibility:1,work meaningful:1 | meaningful level:1 | level exposure:1 | exposure trauma:1 | trauma difficult:1 | difficult balance:1 | balance learning:1 | learning needs:1 | check ins:1 | ins steady:1 | steady enough:1 | enough amount:1 | amount responsibility:1,4.67,5.0,5.0,4.67,4.67,4.67,5.0,4.0,5.0,4.67,5.0,4.67,4.67,4.33,0.1358,0.0,0.689,92.98,94.7,90.84,88.92,89.64,91.95,91.43,86.34,87.58
disability determination services,Disability Determination Services,3,sufficient,4.67,,stable,29.0,1.0,0.5148,90.53,1,no flag,no flag,0.7162,-0.369,0.0,33.3,0.0,0.0,0.0,0.0,0.0,33.3,0.0,66.7,66.7,33.3,individuals:2 | face:2 | systems:2 | see:1 | different:1 | approach:1 | advocating:1 | working:1 | within:1 | community:1 | state:1 | helping:1 | determination:1 | process:1 | experienced:1 | good:1 | work:1 | done:1 | without:1 | having:1,see different:1 | different approach:1 | approach advocating:1 | advocating working:1 | working within:1 | within community:1 | community state:1 | state helping:1 | helping individuals:1 | individuals determination:1 | determination process:1 | process experienced:1 | experienced good:1 | good work:1 | work done:1,educational:2 | different:2 | aspects:2 | nothing:1 | practicum:1 | experience:1 | learned:1 | office:1 | culture:1 | than:1 | experienced:1 | serving:1 | community:1 | social:1 | worker:1 | frustration:1 | supervision:1 | consistent:1 | enough:1 | early:1,nothing practicum:1 | practicum experience:1 | experience educational:1 | educational learned:1 | learned different:1 | different office:1 | office culture:1 | culture than:1 | than experienced:1 | experienced different:1 | different aspects:1 | aspects serving:1 | serving community:1 | community social:1 | social worker:1,5.0,5.0,5.0,4.33,5.0,4.33,5.0,4.67,4.33,4.67,5.0,4.67,4.67,4.33,0.8304,0.7003,0.6962,89.03,92.12,94.05,91.84,90.46,88.85,89.2,90.16,89.06
